Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
182.156.239.49-10.5.254.223-80-52151-6,182.156.239.49,80,10.5.254.223,52151,6,13/09/2023 08:41:59 AM,8559,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.50823694356814,4279.5,5615.134949402374,8250.0,309.0,0,0,0,0,0,309.0,309.0,0.0,309.0,309.0,0,0,0,0,20,40,116.83607898118939,233.67215796237878,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,259,0,0,0,0,0,0,0,0,0,0,No Label
224.0.0.252-10.5.140.102-5355-56497-17,10.5.140.102,56497,224.0.0.252,5355,17,13/09/2023 08:42:01 AM,424408,1,1,33.0,33.0,33.0,33.0,33.0,0.0,33.0,33.0,33.0,0.0,155.51073495315828,4.712446513732069,424408.0,0.0,424408.0,424408.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.3562232568660346,2.3562232568660346,33.0,33.0,33.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,49.5,33.0,33.0,0,0,0,0,0,0,1,33,1,33,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.157.90-1900-49967-17,10.5.157.90,49967,239.255.255.250,1900,17,13/09/2023 08:41:30 AM,2902188,3,1,525.0,175.0,175.0,175.0,175.0,0.0,175.0,175.0,175.0,0.0,241.1973311170744,1.3782704635261396,967396.0,66875.25775651261,1044546.0,925956.0,1970502.0,985251.0,83855.79318091267,1044546.0,925956.0,0,0,0,0,0,0,0,0,0,24,8,1.0337028476446046,0.3445676158815349,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,218.75,175.0,175.0,0,0,0,0,0,0,3,525,1,175,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.211.86-1900-48140-17,10.5.211.86,48140,239.255.255.250,1900,17,13/09/2023 08:42:11 AM,625138,1,1,125.0,125.0,125.0,125.0,125.0,0.0,125.0,125.0,125.0,0.0,399.9116994967511,3.199293595974009,625138.0,0.0,625138.0,625138.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.5996467979870046,1.5996467979870046,125.0,125.0,125.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,187.5,125.0,125.0,0,0,0,0,0,0,1,125,1,125,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.169.42-1900-55159-17,10.5.169.42,55159,239.255.255.250,1900,17,13/09/2023 08:41:51 AM,1107635,1,1,175.0,175.0,175.0,175.0,175.0,0.0,175.0,175.0,175.0,0.0,315.98857024200214,1.8056489728114407,1107635.0,0.0,1107635.0,1107635.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.9028244864057203,0.9028244864057203,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.217.131-1900-52559-17,10.5.217.131,52559,239.255.255.250,1900,17,13/09/2023 08:42:13 AM,3329982,1,1,175.0,175.0,175.0,175.0,175.0,0.0,175.0,175.0,175.0,0.0,105.1056732438794,0.6006038471078822,3329982.0,0.0,3329982.0,3329982.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.3003019235539411,0.3003019235539411,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,262.5,175.0,175.0,0,0,0,0,0,0,1,175,1,175,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
10.5.254.223-20.192.44.78-52032-443-6,20.192.44.78,443,10.5.254.223,52032,6,13/09/2023 08:41:39 AM,32152483,8,10,54.0,207.0,27.0,0.0,6.75,12.498571346929447,31.0,0.0,20.700000000000003,14.360826345769011,8.117569022585286,0.5598323463851922,1891322.5294117648,4397539.206697268,1.3548707E7,41744.0,3.1075195E7,4439313.571428572,6265595.145686291,1.3621696E7,71713.0,3.2005488E7,3556165.3333333335,5831902.273978084,1.3936161E7,54718.0,0,1,0,0,172,200,0.2488143761711965,0.31101797021399563,0.0,31.0,15.157894736842108,14.837127446955256,220.140350877193,0,0,0,1,1,0,0,0,1.0,16.0,6.75,20.7,0,0,0,0,0,0,8,54,10,207,-1,513,2,0,1922517.5,861787.096677886,2531893.0,1313142.0,1.3543252E7,7714.534982745234,1.3548707E7,1.3537797E7,No Label
239.255.255.250-10.5.139.164-1900-49667-17,10.5.139.164,49667,239.255.255.250,1900,17,13/09/2023 08:41:34 AM,1942804,2,1,350.0,175.0,175.0,175.0,175.0,0.0,175.0,175.0,175.0,0.0,270.2279797653289,1.544159884373308,971402.0,75797.60430251078,1024999.0,917805.0,1024999.0,1024999.0,0.0,1024999.0,1024999.0,0,0,0,0,0,0,0,0,0,16,8,1.0294399229155387,0.5147199614577693,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,233.33333333333334,175.0,175.0,0,0,0,0,0,0,2,350,1,175,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.252.44-1900-56873-17,10.5.252.44,56873,239.255.255.250,1900,17,13/09/2023 08:42:11 AM,6211526,2,1,274.0,137.0,137.0,137.0,137.0,0.0,137.0,137.0,137.0,0.0,66.16731540687425,0.48297310515966607,3105763.0,156744.36018562198,3216598.0,2994928.0,3216598.0,3216598.0,0.0,3216598.0,3216598.0,0,0,0,0,0,0,0,0,0,16,8,0.32198207010644403,0.16099103505322201,137.0,137.0,137.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,182.66666666666666,137.0,137.0,0,0,0,0,0,0,2,274,1,137,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.226.20-1900-60980-17,10.5.226.20,60980,239.255.255.250,1900,17,13/09/2023 08:41:31 AM,1976172,2,1,350.0,175.0,175.0,175.0,175.0,0.0,175.0,175.0,175.0,0.0,265.66513441137715,1.5180864823507265,988086.0,84516.23091454091,1047848.0,928324.0,1047848.0,1047848.0,0.0,1047848.0,1047848.0,0,0,0,0,0,0,0,0,0,16,8,1.0120576549004843,0.5060288274502421,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,233.33333333333334,175.0,175.0,0,0,0,0,0,0,2,350,1,175,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
